Achternaam;Voornaam;Stud.Nr.;Vak1;Vak2;Vak3;Vak4;Vak5
Abbing;Yanick;52311353;Analysemethoden en -technieken;Data Mining;Lineaire Algebra;Software engineering;0
Adam;Roelof;76903244;Webprogrammeren en databases;0;0;0;0
Agema;Willibrordus;6709529;Calculus 2;0;0;0;0
Anker;Servaas;70015932;Architectuur en computerorganisatie;Software engineering;0;0;0
Ankone;Wissal;82066165;Compilebouw practicum;Project Genetic Algorithms;0;0;0
Apeldoorn;Herman;1886996;Advanced Heuristics;Heuristieken 2;0;0;0
Appel;Evi;13534377;Collectieve Intelligentie;0;0;0;0
Appelhof;Wilmer;54395877;Programmeren in Java 2;0;0;0;0
Arendse;Benjamin;53512831;Webprogrammeren en databases;0;0;0;0
Aslan;Diny;56348773;Calculus 2;0;0;0;0
Autar;Chesney;13218321;Moderne Databases;0;0;0;0
Avci;Martin;13284244;Compilerbouw;Project Numerical Recipes;0;0;0
Baetsen;Gidon;36748818;Informatie- en organisatieontwerp;Moderne Databases;0;0;0
Bakkum;Rhona;50184318;Collectieve Intelligentie;Moderne Databases;0;0;0
Bart;Wafa;64296965;Analysemethoden en -technieken;Collectieve Intelligentie;Databases 2;Kansrekenen 2;0
Baselmans;Sharan;42778953;Collectieve Intelligentie;Compilerbouw;Lineaire Algebra;Project Numerical Recipes;0
Bastings;Edin;82689818;Algoritmen en complexiteit;Architectuur en computerorganisatie;Collectieve Intelligentie;Databases 2;Netwerken en systeembeveiliging
Baudoin;Mattijs;81385263;Algoritmen en complexiteit;Compilerbouw;Interactie-ontwerp;Lineaire Algebra;Netwerken en systeembeveiliging
Bauer;Ravi;51741554;Calculus 2;Collectieve Intelligentie;Netwerken en systeembeveiliging;0;0
Becht;Wiert;63939720;Project Numerical Recipes;0;0;0;0
Bekkema;Kyllian;70844780;Advanced Heuristics;Netwerken en systeembeveiliging;Reflectie op de digitale cultuur;0;0
Bekker;Marrie;97135019;Calculus 2;Collectieve Intelligentie;Netwerken en systeembeveiliging;Zoeken sturen en bewegen;0
Berentsen;Angèle;78136904;Advanced Heuristics;Algoritmen en complexiteit;Kansrekenen 2;Reflectie op de digitale cultuur;0
Bergmans;Emil;8522855;Algoritmen en complexiteit;Kansrekenen 2;Netwerken en systeembeveiliging;Project Genetic Algorithms;0
Berkers;Tian;27064249;Advanced Heuristics;Calculus 2;Webprogrammeren en databases;0;0
Berrevoets;Annique;82872148;Netwerken en systeembeveiliging;Software engineering;0;0;0
Besemer;Theadora;93023961;Data Mining;0;0;0;0
Beulen;Abdallah;22871048;Analysemethoden en -technieken;Autonomous Agents 2;Heuristieken 1;Reflectie op de digitale cultuur;Software engineering
Beunen;Eltjo;96554914;Reflectie op de digitale cultuur;Software engineering;0;0;0
Bhaggoe;Saba;41585485;Algoritmen en complexiteit;Kansrekenen 2;Programmeren in Java 2;0;0
Bischoff;Ella;46052388;Collectieve Intelligentie;0;0;0;0
Blijleven;Perry;34691309;Project Numerical Recipes;0;0;0;0
Blik;Thyrza;54074680;Lineaire Algebra;0;0;0;0
Blikman;Jarik;81200278;Bioinformatica;Data Mining;Heuristieken 2;Interactie-ontwerp;Netwerken en systeembeveiliging
Blikman;Monika;18266644;Analysemethoden en -technieken;Informatie- en organisatieontwerp;Kansrekenen 2;Netwerken en systeembeveiliging;0
Bloemert;Marco;1075391;Collectieve Intelligentie;0;0;0;0
Bloemsma;Anjana;44151631;Compilebouw practicum;0;0;0;0
Blomsma;Guilliano;69459473;Project Genetic Algorithms;Webprogrammeren en databases;0;0;0
Boateng;Lenne;40791377;Compilerbouw;Machine Learning;0;0;0
Boekema;Amadou;5368702;Compilerbouw;Interactie-ontwerp;Kansrekenen 2;0;0
Bol;Armin;88737765;Analysemethoden en -technieken;Project Genetic Algorithms;0;0;0
Bolding;Rayn;27916487;Moderne Databases;0;0;0;0
Bontenbal;Jeremey;20239127;Kansrekenen 2;Reflectie op de digitale cultuur;0;0;0
Bood;Tariq;28943658;Programmeren in Java 2;0;0;0;0
Boogert;Hiba;70939718;Calculus 2;Netwerken en systeembeveiliging;0;0;0
Borg;Kely;73893840;Programmeren in Java 2;0;0;0;0
Borsboom;Ken;51415617;Reflectie op de digitale cultuur;0;0;0;0
Boshuis;Narin;19540225;Algoritmen en complexiteit;0;0;0;0
Bosman;Rudolph;93361408;Calculus 2;0;0;0;0
Boutkan;Jael;59220392;Calculus 2;Zoeken sturen en bewegen;0;0;0
Braamhaar;Resi;82233873;Zoeken sturen en bewegen;0;0;0;0
Brans;Hanne;36785409;Analysemethoden en -technieken;Reflectie op de digitale cultuur;Technology for games;0;0
Brasser;Cyrina;77831658;Analysemethoden en -technieken;Bioinformatica;Project Numerical Recipes;0;0
Brink;Femia;45556081;Architectuur en computerorganisatie;Collectieve Intelligentie;0;0;0
Brink;Renze;5615125;Calculus 2;Kansrekenen 2;Webprogrammeren en databases;0;0
Brinks;Nyncke;44940353;Kansrekenen 2;0;0;0;0
Brinksma;Wulfert;49922855;Reflectie op de digitale cultuur;0;0;0;0
Broeks;Ilyass;56815156;Analysemethoden en -technieken;Bioinformatica;Zoeken sturen en bewegen;0;0
Broer;Ethan;14671406;Algoritmen en complexiteit;Kansrekenen 2;Software engineering;0;0
Broerse;Tarah;62872965;Autonomous Agents 2;Lineaire Algebra;0;0;0
Bronsema;Devlin;23257088;Databases 2;Informatie- en organisatieontwerp;Programmeren in Java 2;0;0
